列1,列2,列3,列4,列5,列6,列7
Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.0860,0.0658,0.0001,0.0000,1.31,1.31
0日00:00:01,5.0860,0.0656,0.0002,0.0000,2.62,2.61
0日00:00:02,5.0800,0.0836,0.0003,0.0001,4.28,4.28
0日00:00:03,5.0800,0.0834,0.0004,0.0001,5.93,5.93
0日00:00:04,5.0820,0.0650,0.0005,0.0001,7.23,7.23
0日00:00:05,5.0800,0.0854,0.0006,0.0001,8.92,8.92
0日00:00:06,5.0830,0.0658,0.0007,0.0001,10.23,10.23
0日00:00:07,5.0850,0.0658,0.0008,0.0002,11.54,11.54
0日00:00:08,5.0840,0.0657,0.0009,0.0002,12.85,12.85
0日00:00:09,5.0840,0.0656,0.0010,0.0002,14.15,14.15
0日00:00:10,5.0840,0.0834,0.0011,0.0002,15.81,15.81
0日00:00:11,5.0830,0.0646,0.0012,0.0002,17.10,17.09
0日00:00:12,5.0810,0.0660,0.0013,0.0003,18.41,18.41
0日00:00:13,5.0810,0.0835,0.0014,0.0003,20.07,20.07
0日00:00:14,5.0810,0.0662,0.0015,0.0003,21.39,21.38
0日00:00:15,5.0880,0.0531,0.0016,0.0003,22.44,22.44
0日00:00:16,5.0800,0.0646,0.0017,0.0003,23.73,23.72
0日00:00:17,5.0800,0.0881,0.0018,0.0004,25.48,25.48
0日00:00:18,5.0800,0.0642,0.0019,0.0004,26.76,26.75
0日00:00:19,5.0870,0.0523,0.0020,0.0004,27.80,27.79
0日00:00:20,5.0820,0.0966,0.0021,0.0004,29.72,29.71
0日00:00:21,5.0820,0.0886,0.0022,0.0004,31.48,31.48
0日00:00:22,5.0810,0.0642,0.0023,0.0005,32.76,32.75
0日00:00:23,5.0880,0.0524,0.0024,0.0005,33.80,33.79
0日00:00:24,5.0810,0.1384,0.0026,0.0005,36.55,36.55
0日00:00:25,5.0810,0.0884,0.0027,0.0005,38.31,38.30
0日00:00:26,5.0800,0.0793,0.0028,0.0006,39.89,39.88
0日00:00:27,5.0830,0.0628,0.0029,0.0006,41.13,41.13
0日00:00:28,5.0870,0.0912,0.0030,0.0006,42.95,42.94
0日00:00:29,5.0810,0.0691,0.0031,0.0006,44.32,44.32
0日00:00:30,5.0800,0.0712,0.0032,0.0006,45.74,45.73
0日00:00:31,5.0820,0.0631,0.0033,0.0007,46.99,46.99
0日00:00:32,5.0880,0.0546,0.0034,0.0007,48.08,48.07
0日00:00:33,5.0820,0.0645,0.0035,0.0007,49.36,49.36
0日00:00:34,5.0800,0.0729,0.0036,0.0007,50.81,50.81
0日00:00:35,5.0820,0.0641,0.0037,0.0007,52.09,52.08
0日00:00:36,5.0880,0.0573,0.0038,0.0007,53.23,53.22
0日00:00:37,5.0810,0.0645,0.0039,0.0008,54.51,54.50
0日00:00:38,5.0800,0.0821,0.0040,0.0008,56.14,56.13
0日00:00:39,5.0810,0.0644,0.0041,0.0008,57.42,57.41
0日00:00:40,5.0880,0.0527,0.0042,0.0008,58.47,58.46
0日00:00:41,5.0790,0.0818,0.0043,0.0008,60.10,60.09
0日00:00:42,5.0790,0.0883,0.0044,0.0009,61.85,61.85
0日00:00:43,5.0800,0.0642,0.0045,0.0009,63.13,63.12
0日00:00:44,5.0880,0.0524,0.0046,0.0009,64.17,64.16
0日00:00:45,5.0820,0.1428,0.0048,0.0009,67.01,67.00
0日00:00:46,5.0770,0.0812,0.0049,0.0010,68.62,68.62
0日00:00:47,5.0780,0.0835,0.0050,0.0010,70.28,70.28
0日00:00:48,5.0850,0.0628,0.0051,0.0010,71.53,71.53
0日00:00:49,5.0720,0.1591,0.0053,0.0010,74.69,74.69
0日00:00:50,5.0760,0.0881,0.0054,0.0011,76.44,76.44
0日00:00:51,5.0810,0.0747,0.0055,0.0011,77.93,77.93
0日00:00:52,5.0820,0.0632,0.0056,0.0011,79.18,79.18
0日00:00:53,5.0870,0.0637,0.0057,0.0011,80.45,80.45
0日00:00:54,5.0820,0.0642,0.0058,0.0011,81.73,81.73
0日00:00:55,5.0810,0.0711,0.0059,0.0012,83.14,83.14
0日00:00:56,5.0820,0.0642,0.0060,0.0012,84.42,84.42
0日00:00:57,5.0880,0.0604,0.0061,0.0012,85.62,85.62
0日00:00:58,5.0810,0.0646,0.0062,0.0012,86.90,86.90
0日00:00:59,5.0800,0.0881,0.0063,0.0012,88.66,88.66
0日00:01:00,5.0800,0.0643,0.0064,0.0013,89.93,89.93
0日00:01:01,5.0880,0.0530,0.0065,0.0013,90.99,90.99
0日00:01:02,5.0800,0.0703,0.0066,0.0013,92.39,92.39
0日00:01:03,5.0800,0.0882,0.0067,0.0013,94.14,94.14
0日00:01:04,5.0800,0.0642,0.0068,0.0013,95.42,95.42
0日00:01:05,5.0870,0.0525,0.0068,0.0013,96.46,96.46
0日00:01:06,5.0810,0.1073,0.0070,0.0014,98.59,98.59
0日00:01:07,5.0810,0.0707,0.0071,0.0014,100.00,100.00
0日00:01:08,5.0810,0.0595,0.0072,0.0014,101.18,101.18
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
列1,Column2,Column3,Column4,Column5,Column6,列2
