Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.153,0.0001,0,0,0,0
0日00:00:01,5.152,0.0001,0,0,0.01,0.01
0日00:00:02,5.15,0.0625,0.0001,0,1.57,1.57
0日00:00:03,5.137,0.0602,0.0002,0,3.07,3.08
0日00:00:04,5.131,0.1465,0.0004,0.0001,6.73,6.76
0日00:00:05,5.128,0.0688,0.0005,0.0001,8.45,8.49
0日00:00:06,5.134,0.0681,0.0006,0.0001,10.15,10.2
0日00:00:07,5.134,0.0675,0.0007,0.0001,11.83,11.89
0日00:00:08,5.135,0.067,0.0008,0.0002,13.51,13.57
0日00:00:09,5.134,0.0849,0.0009,0.0002,15.63,15.7
0日00:00:10,5.131,0.0666,0.001,0.0002,17.29,17.37
0日00:00:11,5.134,0.0661,0.0011,0.0002,18.94,19.03
0日00:00:12,5.135,0.0661,0.0012,0.0002,20.59,20.69
0日00:00:13,5.135,0.0659,0.0013,0.0002,22.24,22.34
0日00:00:14,5.135,0.0659,0.0014,0.0003,23.88,24
0日00:00:15,5.132,0.0666,0.0015,0.0003,25.55,25.67
0日00:00:16,5.131,0.0801,0.0016,0.0003,27.54,27.68
0日00:00:17,5.133,0.0665,0.0017,0.0003,29.2,29.35
0日00:00:18,5.138,0.0527,0.0017,0.0003,30.52,30.67
0日00:00:19,5.138,0.0527,0.0018,0.0004,31.84,31.99
0日00:00:20,5.138,0.0527,0.0019,0.0004,33.16,33.31
0日00:00:21,5.138,0.0527,0.002,0.0004,34.47,34.64
0日00:00:22,5.138,0.1609,0.0022,0.0004,38.49,38.67
0日00:00:23,5.17,0.0904,0.0023,0.0005,40.77,40.94
0日00:00:24,5.171,0.0878,0.0025,0.0005,42.98,43.14
0日00:00:25,5.18,0.0538,0.0025,0.0005,44.33,44.49
0日00:00:26,5.18,0.0533,0.0026,0.0005,45.67,45.83
0日00:00:27,5.18,0.0534,0.0027,0.0005,47.02,47.17
0日00:00:28,5.18,0.0535,0.0028,0.0005,48.37,48.51
0日00:00:29,5.18,0.0558,0.0028,0.0006,49.77,49.91
0日00:00:30,5.158,0.066,0.0029,0.0006,51.43,51.57
0日00:00:31,5.169,0.0904,0.0031,0.0006,53.7,53.84
0日00:00:32,5.177,0.066,0.0032,0.0006,55.36,55.5
0日00:00:33,5.18,0.0533,0.0032,0.0006,56.71,56.83
0日00:00:34,5.18,0.0534,0.0033,0.0006,58.05,58.17
0日00:00:35,5.18,0.0534,0.0034,0.0007,59.4,59.51
0日00:00:36,5.18,0.0534,0.0035,0.0007,60.74,60.85
0日00:00:37,5.179,0.063,0.0036,0.0007,62.33,62.43
0日00:00:38,5.163,0.0659,0.0037,0.0007,63.99,64.09
0日00:00:39,5.174,0.0876,0.0038,0.0007,66.19,66.29
0日00:00:40,5.177,0.055,0.0039,0.0007,67.58,67.67
0日00:00:41,5.18,0.0533,0.0039,0.0008,68.92,69
0日00:00:42,5.18,0.0533,0.004,0.0008,70.26,70.34
0日00:00:43,5.18,0.0534,0.0041,0.0008,71.61,71.68
0日00:00:44,5.18,0.0534,0.0042,0.0008,72.95,73.02
0日00:00:45,5.149,0.0684,0.0043,0.0008,74.67,74.74
0日00:00:46,5.168,0.0901,0.0044,0.0009,76.93,77
0日00:00:47,5.174,0.0661,0.0045,0.0009,78.59,78.66
0日00:00:48,5.179,0.0531,0.0046,0.0009,79.93,79.99
0日00:00:49,5.18,0.0533,0.0046,0.0009,81.27,81.33
0日00:00:50,5.18,0.0534,0.0047,0.0009,82.62,82.67
0日00:00:51,5.18,0.0534,0.0048,0.0009,83.97,84.01
0日00:00:52,5.179,0.0622,0.0049,0.0009,85.53,85.57
0日00:00:53,5.161,0.066,0.005,0.001,87.19,87.22
0日00:00:54,5.173,0.0787,0.0051,0.001,89.17,89.2
0日00:00:55,5.174,0.0656,0.0052,0.001,90.82,90.84
0日00:00:56,5.18,0.0533,0.0053,0.001,92.16,92.18
0日00:00:57,5.179,0.0534,0.0053,0.001,93.51,93.52
0日00:00:58,5.179,0.0534,0.0054,0.0011,94.85,94.86
0日00:00:59,5.179,0.0534,0.0055,0.0011,96.2,96.2
0日00:01:00,5.152,0.0815,0.0056,0.0011,98.24,98.25
0日00:01:01,5.172,0.0699,0.0057,0.0011,100,100
0日00:01:02,5.193,0.0001,0.0057,0.0011,100,100
