Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),
0日00:00:00,5.138,0.0642,0.0001,0,1.06,1.07,0.016
0日00:00:01,5.139,0.0601,0.0002,0,2.06,2.07,
0日00:00:02,5.124,0.0813,0.0003,0.0001,3.4,3.42,
0日00:00:03,5.136,0.0682,0.0004,0.0001,4.53,4.56,
0日00:00:04,5.137,0.0681,0.0005,0.0001,5.65,5.69,
0日00:00:05,5.137,0.0674,0.0006,0.0001,6.77,6.81,
0日00:00:06,5.137,0.0666,0.0007,0.0001,7.87,7.92,
0日00:00:07,5.136,0.085,0.0008,0.0002,9.28,9.33,
0日00:00:08,5.135,0.0773,0.0009,0.0002,10.56,10.62,
0日00:00:09,5.133,0.0681,0.001,0.0002,11.68,11.75,
0日00:00:10,5.132,0.0847,0.0011,0.0002,13.08,13.16,
0日00:00:11,5.135,0.0667,0.0012,0.0002,14.18,14.27,
0日00:00:12,5.141,0.0523,0.0013,0.0003,15.05,15.14,
0日00:00:13,5.141,0.0523,0.0014,0.0003,15.92,16.01,
0日00:00:14,5.141,0.0523,0.0014,0.0003,16.78,16.88,
0日00:00:15,5.141,0.0523,0.0015,0.0003,17.65,17.75,
0日00:00:16,5.141,0.0523,0.0016,0.0003,18.51,18.62,
0日00:00:17,5.139,0.1295,0.0018,0.0003,20.66,20.78,
0日00:00:18,5.17,0.0902,0.0019,0.0004,22.16,22.28,
0日00:00:19,5.175,0.0711,0.002,0.0004,23.35,23.46,
0日00:00:20,5.181,0.053,0.0021,0.0004,24.23,24.34,
0日00:00:21,5.182,0.0529,0.0022,0.0004,25.11,25.22,
0日00:00:22,5.182,0.0529,0.0022,0.0004,26,26.1,
0日00:00:23,5.182,0.0529,0.0023,0.0005,26.88,26.98,
0日00:00:24,5.182,0.0529,0.0024,0.0005,27.76,27.86,
0日00:00:25,5.182,0.0556,0.0025,0.0005,28.69,28.79,
0日00:00:26,5.173,0.0659,0.0026,0.0005,29.79,29.89,
0日00:00:27,5.173,0.0901,0.0027,0.0005,31.29,31.39,
0日00:00:28,5.176,0.0655,0.0028,0.0005,32.38,32.48,
0日00:00:29,5.182,0.0528,0.0029,0.0006,33.26,33.35,
0日00:00:30,5.182,0.0528,0.0029,0.0006,34.14,34.23,
0日00:00:31,5.182,0.0529,0.003,0.0006,35.03,35.11,
0日00:00:32,5.182,0.053,0.0031,0.0006,35.91,36,
0日00:00:33,5.182,0.053,0.0032,0.0006,36.8,36.88,
0日00:00:34,5.168,0.1408,0.0034,0.0007,39.14,39.22,
0日00:00:35,5.171,0.09,0.0035,0.0007,40.64,40.72,
0日00:00:36,5.174,0.0819,0.0036,0.0007,42,42.08,
0日00:00:37,5.177,0.0573,0.0037,0.0007,42.96,43.03,
0日00:00:38,5.182,0.0528,0.0038,0.0007,43.84,43.91,
0日00:00:39,5.182,0.0528,0.0039,0.0007,44.72,44.79,
0日00:00:40,5.182,0.0529,0.0039,0.0008,45.6,45.67,
0日00:00:41,5.182,0.053,0.004,0.0008,46.49,46.55,
0日00:00:42,5.181,0.0556,0.0041,0.0008,47.42,47.48,
0日00:00:43,5.144,0.088,0.0042,0.0008,48.87,48.94,
0日00:00:44,5.169,0.0899,0.0043,0.0008,50.37,50.44,
0日00:00:45,5.176,0.0659,0.0044,0.0009,51.47,51.54,
0日00:00:46,5.181,0.0529,0.0045,0.0009,52.35,52.42,
0日00:00:47,5.181,0.0529,0.0046,0.0009,53.23,53.3,
0日00:00:48,5.181,0.0528,0.0047,0.0009,54.12,54.17,
0日00:00:49,5.181,0.0527,0.0047,0.0009,55,55.05,
0日00:00:50,5.181,0.0532,0.0048,0.0009,55.88,55.94,
0日00:00:51,5.162,0.1279,0.005,0.001,58.01,58.06,
0日00:00:52,5.16,0.0787,0.0051,0.001,59.32,59.37,
0日00:00:53,5.173,0.0813,0.0052,0.001,60.67,60.73,
0日00:00:54,5.18,0.0577,0.0053,0.001,61.63,61.69,
0日00:00:55,5.181,0.0528,0.0054,0.001,62.52,62.57,
0日00:00:56,5.181,0.0529,0.0055,0.0011,63.4,63.45,
0日00:00:57,5.181,0.0529,0.0055,0.0011,64.28,64.33,
0日00:00:58,5.181,0.053,0.0056,0.0011,65.17,65.21,
0日00:00:59,5.181,0.053,0.0057,0.0011,66.05,66.09,
0日00:01:00,5.144,0.0911,0.0058,0.0011,67.56,67.61,
0日00:01:01,5.169,0.0897,0.006,0.0012,69.05,69.1,
0日00:01:02,5.175,0.0653,0.006,0.0012,70.14,70.18,
0日00:01:03,5.178,0.0528,0.0061,0.0012,71.02,71.06,
0日00:01:04,5.181,0.0525,0.0062,0.0012,71.9,71.94,
0日00:01:05,5.181,0.0525,0.0063,0.0012,72.77,72.81,
0日00:01:06,5.181,0.0526,0.0064,0.0012,73.65,73.69,
0日00:01:07,5.181,0.0526,0.0064,0.0012,74.53,74.56,
0日00:01:08,5.176,0.1251,0.0066,0.0013,76.61,76.64,
0日00:01:09,5.168,0.0653,0.0067,0.0013,77.7,77.73,
0日00:01:10,5.173,0.0821,0.0068,0.0013,79.07,79.1,
0日00:01:11,5.178,0.0648,0.0069,0.0013,80.15,80.17,
0日00:01:12,5.179,0.0524,0.007,0.0014,81.02,81.05,
0日00:01:13,5.181,0.0524,0.0071,0.0014,81.9,81.92,
0日00:01:14,5.181,0.0525,0.0071,0.0014,82.77,82.79,
0日00:01:15,5.181,0.0526,0.0072,0.0014,83.65,83.67,
0日00:01:16,5.181,0.0526,0.0073,0.0014,84.53,84.54,
0日00:01:17,5.15,0.1722,0.0075,0.0015,87.39,87.41,
0日00:01:18,5.163,0.0891,0.0077,0.0015,88.87,88.89,
0日00:01:19,5.175,0.0852,0.0078,0.0015,90.29,90.31,
0日00:01:20,5.178,0.0525,0.0079,0.0015,91.16,91.18,
0日00:01:21,5.181,0.0525,0.0079,0.0015,92.04,92.05,
0日00:01:22,5.181,0.0525,0.008,0.0016,92.92,92.93,
0日00:01:23,5.181,0.0525,0.0081,0.0016,93.79,93.8,
0日00:01:24,5.181,0.0526,0.0082,0.0016,94.67,94.68,
0日00:01:25,5.181,0.0539,0.0082,0.0016,95.57,95.57,
0日00:01:26,5.157,0.0653,0.0083,0.0016,96.65,96.66,
0日00:01:27,5.172,0.0835,0.0085,0.0016,98.05,98.05,
0日00:01:28,5.177,0.0648,0.0085,0.0017,99.13,99.13,
0日00:01:29,5.181,0.0524,0.0086,0.0017,100,100,
0日00:01:30,5.18,0.0527,0.0087,0.0017,100.88,100.88,
